region,year,value,diagnosis,region_standard
Ростовская область,2005,7.1,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2005,22.8,drugs,
Республика Дагестан,2005,15.3,drugs,Республика Дагестан
Республика Ингушетия,2005,6.4,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2005,31.9,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2005,41.6,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2005,14.6,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2005,0.0,drugs,Чеченская Республика
Ставропольский край,2005,25.2,drugs,Ставропольский край
Приволжский федеральный округ,2005,13.0,drugs,
Республика Башкортостан,2005,10.6,drugs,Республика Башкортостан
Республика Марий Эл,2005,9.0,drugs,Республика Марий Эл
Республика Мордовия,2005,3.2,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2005,20.2,drugs,Республика Татарстан
Удмуртская Республика,2005,11.7,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2005,3.3,drugs,Чувашская Республика
Пермский край,2005,31.8,drugs,Пермский край
Кировская область,2005,3.6,drugs,Кировская область
Нижегородская область,2005,5.8,drugs,Нижегородская область
Оренбургская область,2005,11.8,drugs,Оренбургская область
Пензенская область,2005,7.0,drugs,Пензенская область
Самарская область,2005,20.5,drugs,Самарская область
Саратовская область,2005,5.6,drugs,Саратовская область
Ульяновская область,2005,14.1,drugs,Ульяновская область
Уральский федеральный округ,2005,21.1,drugs,
Курганская область,2005,17.6,drugs,Курганская область
Свердловская область,2005,24.0,drugs,Свердловская область
Тюменская область,2005,24.7,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,34.6,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2005,18.2,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2005,15.1,drugs,Челябинская область
Сибирский федеральный округ,2005,28.6,drugs,
Республика Алтай,2005,12.7,drugs,Республика Алтай
Республика Тыва,2005,15.6,drugs,Республика Тыва
Республика Хакасия,2005,17.6,drugs,Республика Хакасия
Алтайский край,2005,29.8,drugs,Алтайский край
Красноярский край,2005,22.2,drugs,Красноярский край
Иркутская область,2005,56.7,drugs,Иркутская область
Кемеровская область,2005,45.9,drugs,Кемеровская область
Новосибирская область,2005,28.1,drugs,Новосибирская область
Омская область,2005,6.2,drugs,Омская область
Томская область,2005,19.2,drugs,Томская область
Дальневосточный федеральный округ,2005,23.4,drugs,
Республика Бурятия,2005,9.5,drugs,Республика Бурятия
Республика Саха (Якутия),2005,8.1,drugs,Республика Саха (Якутия)
Забайкальский край,2005,13.1,drugs,Забайкальский край
Камчатский край,2005,4.0,drugs,Камчатский край
Приморский край,2005,42.9,drugs,Приморский край
Хабаровский край,2005,7.3,drugs,Хабаровский край
Амурская область,2005,21.3,drugs,Амурская область
Магаданская область,2005,21.9,drugs,Магаданская область
Сахалинская область,2005,36.5,drugs,Сахалинская область
Еврейская автономная область,2005,28.2,drugs,Еврейская автономная область
Чукотский автономный округ,2005,2.0,drugs,Чукотский автономный округ
Российская Федерация,2006,19.1,drugs,
Центральный федеральный округ,2006,11.8,drugs,
Белгородская область,2006,9.5,drugs,Белгородская область
Брянская область,2006,11.5,drugs,Брянская область
Владимирская область,2006,5.7,drugs,Владимирская область
Воронежская область,2006,12.3,drugs,Воронежская область
Ивановская область,2006,9.6,drugs,Ивановская область
Калужская область,2006,5.3,drugs,Калужская область
Костромская область,2006,6.2,drugs,Костромская область
Курская область,2006,33.3,drugs,Курская область
Липецкая область,2006,14.7,drugs,Липецкая область
Московская область,2006,15.0,drugs,Московская область
Орловская область,2006,2.8,drugs,Орловская область
Рязанская область,2006,7.2,drugs,Рязанская область
Смоленская область,2006,15.3,drugs,Смоленская область
Тамбовская область,2006,2.6,drugs,Тамбовская область
Тверская область,2006,10.8,drugs,Тверская область
Тульская область,2006,6.1,drugs,Тульская область
Ярославская область,2006,3.9,drugs,Ярославская область
г. Москва,2006,13.2,drugs,Москва
Северо-Западный федеральный округ,2006,20.0,drugs,
Республика Карелия,2006,5.2,drugs,Республика Карелия
Республика Коми,2006,19.8,drugs,Республика Коми
Архангельская область,2006,1.4,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2006,19.1,drugs,Ненецкий автономный округ
Вологодская область,2006,9.7,drugs,Вологодская область
Калининградская область,2006,13.3,drugs,Калининградская область
Ленинградская область,2006,26.5,drugs,Ленинградская область
Мурманская область,2006,36.8,drugs,Мурманская область
Новгородская область,2006,15.4,drugs,Новгородская область
Псковская область,2006,8.8,drugs,Псковская область
г. Санкт-Петербург,2006,28.7,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2006,25.3,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2006,50.2,drugs,Республика Адыгея
Республика Калмыкия,2006,29.2,drugs,Республика Калмыкия
Краснодарский край,2006,43.3,drugs,Краснодарский край
Астраханская область,2006,12.9,drugs,Астраханская область
Волгоградская область,2006,17.9,drugs,Волгоградская область
Ростовская область,2006,8.4,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2006,21.6,drugs,
Республика Дагестан,2006,20.0,drugs,Республика Дагестан
Республика Ингушетия,2006,6.7,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2006,37.6,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2006,45.3,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2006,13.0,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2006,11.3,drugs,Чеченская Республика
Ставропольский край,2006,23.5,drugs,Ставропольский край
Приволжский федеральный округ,2006,14.1,drugs,
Республика Башкортостан,2006,9.7,drugs,Республика Башкортостан
Республика Марий Эл,2006,7.9,drugs,Республика Марий Эл
Республика Мордовия,2006,3.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2006,19.4,drugs,Республика Татарстан
Удмуртская Республика,2006,14.7,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2006,2.7,drugs,Чувашская Республика
Пермский край,2006,44.5,drugs,Пермский край
Кировская область,2006,6.1,drugs,Кировская область
Нижегородская область,2006,7.1,drugs,Нижегородская область
Оренбургская область,2006,10.9,drugs,Оренбургская область
Пензенская область,2006,7.3,drugs,Пензенская область
Самарская область,2006,19.7,drugs,Самарская область
Саратовская область,2006,5.9,drugs,Саратовская область
Ульяновская область,2006,12.4,drugs,Ульяновская область
Уральский федеральный округ,2006,27.3,drugs,
Курганская область,2006,35.8,drugs,Курганская область
Свердловская область,2006,31.0,drugs,Свердловская область
Тюменская область,2006,26.8,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2006,38.2,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2006,26.6,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2006,20.6,drugs,Челябинская область
Сибирский федеральный округ,2006,29.2,drugs,
Республика Алтай,2006,6.3,drugs,Республика Алтай
Республика Тыва,2006,21.0,drugs,Республика Тыва
Республика Хакасия,2006,19.2,drugs,Республика Хакасия
Алтайский край,2006,35.2,drugs,Алтайский край
Красноярский край,2006,28.6,drugs,Красноярский край
Иркутская область,2006,43.4,drugs,Иркутская область
Кемеровская область,2006,52.9,drugs,Кемеровская область
Новосибирская область,2006,27.1,drugs,Новосибирская область
Омская область,2006,12.7,drugs,Омская область
Томская область,2006,13.9,drugs,Томская область
Дальневосточный федеральный округ,2006,20.1,drugs,
Республика Бурятия,2006,3.4,drugs,Республика Бурятия
Республика Саха (Якутия),2006,7.5,drugs,Республика Саха (Якутия)
Забайкальский край,2006,7.3,drugs,Забайкальский край
Камчатский край,2006,4.3,drugs,Камчатский край
Приморский край,2006,29.4,drugs,Приморский край
Хабаровский край,2006,8.8,drugs,Хабаровский край
Амурская область,2006,27.2,drugs,Амурская область
Магаданская область,2006,34.7,drugs,Магаданская область
Сахалинская область,2006,34.8,drugs,Сахалинская область
Еврейская автономная область,2006,15.0,drugs,Еврейская автономная область
Чукотский автономный округ,2006,4.0,drugs,Чукотский автономный округ
Российская Федерация,2007,19.1,drugs,
Центральный федеральный округ,2007,11.8,drugs,
Белгородская область,2007,9.5,drugs,Белгородская область
Брянская область,2007,11.5,drugs,Брянская область
Владимирская область,2007,5.7,drugs,Владимирская область
Воронежская область,2007,12.3,drugs,Воронежская область
Ивановская область,2007,9.6,drugs,Ивановская область
Калужская область,2007,5.3,drugs,Калужская область
Костромская область,2007,6.2,drugs,Костромская область
Курская область,2007,33.3,drugs,Курская область
Липецкая область,2007,14.7,drugs,Липецкая область
Московская область,2007,15.0,drugs,Московская область
Орловская область,2007,2.8,drugs,Орловская область
Рязанская область,2007,7.2,drugs,Рязанская область
Смоленская область,2007,15.3,drugs,Смоленская область
Тамбовская область,2007,2.6,drugs,Тамбовская область
Тверская область,2007,10.8,drugs,Тверская область
Тульская область,2007,6.1,drugs,Тульская область
Ярославская область,2007,3.9,drugs,Ярославская область
г. Москва,2007,13.2,drugs,Москва
Северо-Западный федеральный округ,2007,20.0,drugs,
Республика Карелия,2007,5.2,drugs,Республика Карелия
Республика Коми,2007,19.8,drugs,Республика Коми
Архангельская область,2007,1.4,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2007,19.1,drugs,Ненецкий автономный округ
Вологодская область,2007,9.7,drugs,Вологодская область
Калининградская область,2007,13.3,drugs,Калининградская область
Ленинградская область,2007,26.5,drugs,Ленинградская область
Мурманская область,2007,36.8,drugs,Мурманская область
Новгородская область,2007,15.4,drugs,Новгородская область
Псковская область,2007,8.8,drugs,Псковская область
г. Санкт-Петербург,2007,28.7,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2007,25.3,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2007,50.2,drugs,Республика Адыгея
Республика Калмыкия,2007,29.2,drugs,Республика Калмыкия
Краснодарский край,2007,43.3,drugs,Краснодарский край
Астраханская область,2007,12.9,drugs,Астраханская область
Волгоградская область,2007,17.9,drugs,Волгоградская область
Ростовская область,2007,8.4,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2007,21.6,drugs,
Республика Дагестан,2007,20.0,drugs,Республика Дагестан
Республика Ингушетия,2007,6.7,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2007,37.6,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2007,45.3,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2007,13.0,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2007,11.3,drugs,Чеченская Республика
Ставропольский край,2007,23.5,drugs,Ставропольский край
Приволжский федеральный округ,2007,14.1,drugs,
Республика Башкортостан,2007,9.7,drugs,Республика Башкортостан
Республика Марий Эл,2007,7.9,drugs,Республика Марий Эл
Республика Мордовия,2007,3.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2007,19.4,drugs,Республика Татарстан
Удмуртская Республика,2007,14.7,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2007,2.7,drugs,Чувашская Республика
Пермский край,2007,44.5,drugs,Пермский край
Кировская область,2007,6.1,drugs,Кировская область
Нижегородская область,2007,7.1,drugs,Нижегородская область
Оренбургская область,2007,10.9,drugs,Оренбургская область
Пензенская область,2007,7.3,drugs,Пензенская область
Самарская область,2007,19.7,drugs,Самарская область
Саратовская область,2007,5.9,drugs,Саратовская область
Ульяновская область,2007,12.4,drugs,Ульяновская область
Уральский федеральный округ,2007,27.3,drugs,
Курганская область,2007,35.8,drugs,Курганская область
Свердловская область,2007,31.0,drugs,Свердловская область
Тюменская область,2007,26.8,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2007,38.2,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2007,26.6,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2007,20.6,drugs,Челябинская область
Сибирский федеральный округ,2007,29.2,drugs,
Республика Алтай,2007,6.3,drugs,Республика Алтай
Республика Тыва,2007,21.0,drugs,Республика Тыва
Республика Хакасия,2007,19.2,drugs,Республика Хакасия
Алтайский край,2007,35.2,drugs,Алтайский край
Красноярский край,2007,28.6,drugs,Красноярский край
Иркутская область,2007,43.4,drugs,Иркутская область
Кемеровская область,2007,52.9,drugs,Кемеровская область
Новосибирская область,2007,27.1,drugs,Новосибирская область
Омская область,2007,12.7,drugs,Омская область
Томская область,2007,13.9,drugs,Томская область
Дальневосточный федеральный округ,2007,20.1,drugs,
Республика Бурятия,2007,3.4,drugs,Республика Бурятия
Республика Саха (Якутия),2007,7.5,drugs,Республика Саха (Якутия)
Забайкальский край,2007,7.3,drugs,Забайкальский край
Камчатский край,2007,4.3,drugs,Камчатский край
Приморский край,2007,29.4,drugs,Приморский край
Хабаровский край,2007,8.8,drugs,Хабаровский край
Амурская область,2007,27.2,drugs,Амурская область
Магаданская область,2007,34.7,drugs,Магаданская область
Сахалинская область,2007,34.8,drugs,Сахалинская область
Еврейская автономная область,2007,15.0,drugs,Еврейская автономная область
Чукотский автономный округ,2007,4.0,drugs,Чукотский автономный округ
Российская Федерация,2008,18.7,drugs,
Центральный федеральный округ,2008,13.1,drugs,
Белгородская область,2008,4.2,drugs,Белгородская область
Брянская область,2008,14.4,drugs,Брянская область
Владимирская область,2008,6.8,drugs,Владимирская область
Воронежская область,2008,16.2,drugs,Воронежская область
Ивановская область,2008,17.7,drugs,Ивановская область
Калужская область,2008,5.6,drugs,Калужская область
Костромская область,2008,18.3,drugs,Костромская область
Курская область,2008,23.8,drugs,Курская область
Липецкая область,2008,16.9,drugs,Липецкая область
Московская область,2008,19.8,drugs,Московская область
Орловская область,2008,3.2,drugs,Орловская область
Рязанская область,2008,9.8,drugs,Рязанская область
Смоленская область,2008,13.9,drugs,Смоленская область
Тамбовская область,2008,3.4,drugs,Тамбовская область
Тверская область,2008,10.3,drugs,Тверская область
Тульская область,2008,6.4,drugs,Тульская область
Ярославская область,2008,8.5,drugs,Ярославская область
г. Москва,2008,12.4,drugs,Москва
Северо-Западный федеральный округ,2008,18.5,drugs,
Республика Карелия,2008,4.6,drugs,Республика Карелия
Республика Коми,2008,22.3,drugs,Республика Коми
Архангельская область,2008,2.6,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2008,16.7,drugs,Ненецкий автономный округ
Вологодская область,2008,8.4,drugs,Вологодская область
Калининградская область,2008,5.1,drugs,Калининградская область
Ленинградская область,2008,28.2,drugs,Ленинградская область
Мурманская область,2008,37.8,drugs,Мурманская область
Новгородская область,2008,13.4,drugs,Новгородская область
Псковская область,2008,16.4,drugs,Псковская область
г. Санкт-Петербург,2008,23.7,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2008,17.3,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2008,37.3,drugs,Республика Адыгея
Республика Калмыкия,2008,10.9,drugs,Республика Калмыкия
Краснодарский край,2008,27.8,drugs,Краснодарский край
Астраханская область,2008,6.8,drugs,Астраханская область
Волгоградская область,2008,13.9,drugs,Волгоградская область
Ростовская область,2008,7.4,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2008,16.9,drugs,
Республика Дагестан,2008,17.1,drugs,Республика Дагестан
Республика Ингушетия,2008,4.8,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2008,21.1,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2008,15.7,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2008,5.1,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2008,16.6,drugs,Чеченская Республика
Ставропольский край,2008,20.9,drugs,Ставропольский край
Приволжский федеральный округ,2008,14.2,drugs,
Республика Башкортостан,2008,9.3,drugs,Республика Башкортостан
Республика Марий Эл,2008,9.7,drugs,Республика Марий Эл
Республика Мордовия,2008,14.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2008,17.3,drugs,Республика Татарстан
Удмуртская Республика,2008,14.4,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2008,5.6,drugs,Чувашская Республика
Пермский край,2008,35.7,drugs,Пермский край
Кировская область,2008,4.2,drugs,Кировская область
Нижегородская область,2008,11.3,drugs,Нижегородская область
Оренбургская область,2008,8.4,drugs,Оренбургская область
Пензенская область,2008,13.6,drugs,Пензенская область
Самарская область,2008,21.4,drugs,Самарская область
Саратовская область,2008,6.2,drugs,Саратовская область
Ульяновская область,2008,12.5,drugs,Ульяновская область
Уральский федеральный округ,2008,32.8,drugs,
Курганская область,2008,26.3,drugs,Курганская область
Свердловская область,2008,50.9,drugs,Свердловская область
Тюменская область,2008,20.6,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2008,26.8,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2008,21.0,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2008,23.7,drugs,Челябинская область
Сибирский федеральный округ,2008,28.7,drugs,
Республика Алтай,2008,15.4,drugs,Республика Алтай
Республика Тыва,2008,7.7,drugs,Республика Тыва
Республика Хакасия,2008,11.2,drugs,Республика Хакасия
Алтайский край,2008,37.7,drugs,Алтайский край
Красноярский край,2008,18.6,drugs,Красноярский край
Иркутская область,2008,39.4,drugs,Иркутская область
Кемеровская область,2008,51.9,drugs,Кемеровская область
Новосибирская область,2008,34.3,drugs,Новосибирская область
Омская область,2008,16.0,drugs,Омская область
Томская область,2008,15.4,drugs,Томская область
Дальневосточный федеральный округ,2008,20.6,drugs,
Республика Бурятия,2008,7.2,drugs,Республика Бурятия
Республика Саха (Якутия),2008,9.5,drugs,Республика Саха (Якутия)
Забайкальский край,2008,9.2,drugs,Забайкальский край
Камчатский край,2008,3.8,drugs,Камчатский край
Приморский край,2008,27.5,drugs,Приморский край
Хабаровский край,2008,10.3,drugs,Хабаровский край
Амурская область,2008,28.4,drugs,Амурская область
Магаданская область,2008,29.2,drugs,Магаданская область
Сахалинская область,2008,36.8,drugs,Сахалинская область
Еврейская автономная область,2008,28.0,drugs,Еврейская автономная область
Чукотский автономный округ,2008,2.0,drugs,Чукотский автономный округ
Российская Федерация,2009,17.8,drugs,
Центральный федеральный округ,2009,13.9,drugs,
Белгородская область,2009,3.9,drugs,Белгородская область
Брянская область,2009,15.4,drugs,Брянская область
Владимирская область,2009,8.3,drugs,Владимирская область
Воронежская область,2009,16.1,drugs,Воронежская область
Ивановская область,2009,15.3,drugs,Ивановская область
Калужская область,2009,8.5,drugs,Калужская область
Костромская область,2009,16.8,drugs,Костромская область
Курская область,2009,18.5,drugs,Курская область
Липецкая область,2009,19.0,drugs,Липецкая область
Московская область,2009,20.3,drugs,Московская область
Орловская область,2009,2.6,drugs,Орловская область
Рязанская область,2009,12.9,drugs,Рязанская область
Смоленская область,2009,17.4,drugs,Смоленская область
Тамбовская область,2009,2.4,drugs,Тамбовская область
Тверская область,2009,8.7,drugs,Тверская область
Тульская область,2009,6.9,drugs,Тульская область
Ярославская область,2009,7.0,drugs,Ярославская область
г. Москва,2009,15.0,drugs,Москва
Северо-Западный федеральный округ,2009,18.2,drugs,
Республика Карелия,2009,5.0,drugs,Республика Карелия
Республика Коми,2009,21.9,drugs,Республика Коми
Архангельская область,2009,3.4,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2009,9.5,drugs,Ненецкий автономный округ
Вологодская область,2009,10.2,drugs,Вологодская область
Калининградская область,2009,7.0,drugs,Калининградская область
Ленинградская область,2009,26.4,drugs,Ленинградская область
Мурманская область,2009,35.4,drugs,Мурманская область
Новгородская область,2009,10.4,drugs,Новгородская область
Псковская область,2009,13.3,drugs,Псковская область
г. Санкт-Петербург,2009,23.7,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2009,13.8,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2009,16.9,drugs,Республика Адыгея
Республика Калмыкия,2009,6.0,drugs,Республика Калмыкия
Краснодарский край,2009,15.3,drugs,Краснодарский край
Астраханская область,2009,8.1,drugs,Астраханская область
Волгоградская область,2009,19.8,drugs,Волгоградская область
Ростовская область,2009,9.8,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2009,14.4,drugs,
Республика Дагестан,2009,12.9,drugs,Республика Дагестан
Республика Ингушетия,2009,4.1,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2009,16.7,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2009,7.3,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2009,6.4,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2009,20.7,drugs,Чеченская Республика
Ставропольский край,2009,17.5,drugs,Ставропольский край
Приволжский федеральный округ,2009,13.8,drugs,
Республика Башкортостан,2009,11.9,drugs,Республика Башкортостан
Республика Марий Эл,2009,10.0,drugs,Республика Марий Эл
Республика Мордовия,2009,13.1,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2009,8.8,drugs,Республика Татарстан
Удмуртская Республика,2009,14.1,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2009,5.9,drugs,Чувашская Республика
Пермский край,2009,34.5,drugs,Пермский край
Кировская область,2009,4.7,drugs,Кировская область
Нижегородская область,2009,12.0,drugs,Нижегородская область
Оренбургская область,2009,6.9,drugs,Оренбургская область
Пензенская область,2009,18.5,drugs,Пензенская область
Самарская область,2009,21.4,drugs,Самарская область
Саратовская область,2009,7.8,drugs,Саратовская область
Ульяновская область,2009,15.2,drugs,Ульяновская область
Уральский федеральный округ,2009,32.8,drugs,
Курганская область,2009,30.1,drugs,Курганская область
Свердловская область,2009,47.8,drugs,Свердловская область
Тюменская область,2009,22.8,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2009,30.5,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2009,27.5,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2009,24.4,drugs,Челябинская область
Сибирский федеральный округ,2009,26.2,drugs,
Республика Алтай,2009,4.8,drugs,Республика Алтай
Республика Тыва,2009,19.0,drugs,Республика Тыва
Республика Хакасия,2009,19.5,drugs,Республика Хакасия
Алтайский край,2009,27.3,drugs,Алтайский край
Красноярский край,2009,29.5,drugs,Красноярский край
Иркутская область,2009,25.6,drugs,Иркутская область
Кемеровская область,2009,49.0,drugs,Кемеровская область
Новосибирская область,2009,27.8,drugs,Новосибирская область
Омская область,2009,15.7,drugs,Омская область
Томская область,2009,17.9,drugs,Томская область
Дальневосточный федеральный округ,2009,16.6,drugs,
Республика Бурятия,2009,7.7,drugs,Республика Бурятия
Республика Саха (Якутия),2009,10.0,drugs,Республика Саха (Якутия)
Забайкальский край,2009,7.1,drugs,Забайкальский край
Камчатский край,2009,5.2,drugs,Камчатский край
Приморский край,2009,18.3,drugs,Приморский край
Хабаровский край,2009,8.4,drugs,Хабаровский край
Амурская область,2009,26.2,drugs,Амурская область
Магаданская область,2009,20.4,drugs,Магаданская область
Сахалинская область,2009,34.9,drugs,Сахалинская область
Еврейская автономная область,2009,16.7,drugs,Еврейская автономная область
Чукотский автономный округ,2009,14.3,drugs,Чукотский автономный округ
Российская Федерация,2010,17.6,drugs,
Центральный федеральный округ,2010,14.9,drugs,
Белгородская область,2010,4.8,drugs,Белгородская область
Брянская область,2010,18.3,drugs,Брянская область
Владимирская область,2010,7.8,drugs,Владимирская область
Воронежская область,2010,12.6,drugs,Воронежская область
Ивановская область,2010,14.8,drugs,Ивановская область
Калужская область,2010,11.9,drugs,Калужская область
Костромская область,2010,19.9,drugs,Костромская область
Курская область,2010,19.3,drugs,Курская область
Липецкая область,2010,23.2,drugs,Липецкая область
Московская область,2010,21.1,drugs,Московская область
Орловская область,2010,4.4,drugs,Орловская область
Рязанская область,2010,11.4,drugs,Рязанская область
Смоленская область,2010,17.0,drugs,Смоленская область
Тамбовская область,2010,3.8,drugs,Тамбовская область
Тверская область,2010,9.8,drugs,Тверская область
Тульская область,2010,8.2,drugs,Тульская область
Ярославская область,2010,8.2,drugs,Ярославская область
г. Москва,2010,16.5,drugs,Москва
Северо-Западный федеральный округ,2010,18.6,drugs,
Республика Карелия,2010,6.6,drugs,Республика Карелия
Республика Коми,2010,24.5,drugs,Республика Коми
Архангельская область,2010,4.6,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2010,4.7,drugs,Ненецкий автономный округ
Вологодская область,2010,10.9,drugs,Вологодская область
Калининградская область,2010,9.5,drugs,Калининградская область
Ленинградская область,2010,23.0,drugs,Ленинградская область
Мурманская область,2010,32.9,drugs,Мурманская область
Новгородская область,2010,14.8,drugs,Новгородская область
Псковская область,2010,17.1,drugs,Псковская область
г. Санкт-Петербург,2010,23.3,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2010,12.7,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2010,14.0,drugs,Республика Адыгея
Республика Калмыкия,2010,5.3,drugs,Республика Калмыкия
Краснодарский край,2010,10.5,drugs,Краснодарский край
Астраханская область,2010,9.8,drugs,Астраханская область
Волгоградская область,2010,21.9,drugs,Волгоградская область
Ростовская область,2010,10.8,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2010,15.6,drugs,
Республика Дагестан,2010,16.8,drugs,Республика Дагестан
Республика Ингушетия,2010,0.6,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2010,17.7,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2010,14.5,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2010,7.7,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2010,19.6,drugs,Чеченская Республика
Ставропольский край,2010,16.9,drugs,Ставропольский край
Приволжский федеральный округ,2010,13.3,drugs,
Республика Башкортостан,2010,13.5,drugs,Республика Башкортостан
Республика Марий Эл,2010,8.6,drugs,Республика Марий Эл
Республика Мордовия,2010,8.2,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2010,9.4,drugs,Республика Татарстан
Удмуртская Республика,2010,15.2,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2010,3.3,drugs,Чувашская Республика
Пермский край,2010,28.3,drugs,Пермский край
Кировская область,2010,3.5,drugs,Кировская область
Нижегородская область,2010,14.0,drugs,Нижегородская область
Оренбургская область,2010,5.5,drugs,Оренбургская область
Пензенская область,2010,19.6,drugs,Пензенская область
Самарская область,2010,19.6,drugs,Самарская область
Саратовская область,2010,7.2,drugs,Саратовская область
Ульяновская область,2010,18.6,drugs,Ульяновская область
Уральский федеральный округ,2010,32.4,drugs,
