region,year,population,region_standard
Чукотский автономный округ,2016,57534.0,Чукотский автономный округ
Раздел 1. Муниципальные образования субъектов Российской Федерации,2017,145649334.0,
Центральный федеральный округ,2017,38068452.0,
Белгородская область,2017,1508137.0,Белгородская область
Брянская область,2017,1391430.0,Брянская область
Владимирская область,2017,1539179.0,Владимирская область
Воронежская область,2017,2397111.0,Воронежская область
Ивановская область,2017,1161861.0,Ивановская область
Калужская область,2017,1049614.0,Калужская область
Костромская область,2017,743967.0,Костромская область
Курская область,2017,1248588.0,Курская область
Липецкая область,2017,1220476.0,Липецкая область
Московская область,2017,6609152.0,Московская область
Орловская область,2017,867553.0,Орловская область
Рязанская область,2017,1240958.0,Рязанская область
Смоленская область,2017,1063269.0,Смоленская область
Тамбовская область,2017,1193381.0,Тамбовская область
Тверская область,2017,1491451.0,Тверская область
Тульская область,2017,1694008.0,Тульская область
Ярославская область,2017,1378417.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2017,10269900.0,Москва
Северо-Западный федеральный округ,2017,14072968.0,
Республика Карелия,2017,721538.0,Республика Карелия
Республика Коми,2017,1029644.0,Республика Коми
Архангельская область,2017,1350448.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2017,40896.0,Ненецкий автономный округ
Вологодская область,2017,1278543.0,Вологодская область
Калининградская область,2017,955449.0,Калининградская область
Ленинградская область,2017,1672685.0,Ленинградская область
Мурманская область,2017,905735.0,Мурманская область
Новгородская область,2017,700859.0,Новгородская область
Псковская область,2017,769653.0,Псковская область
Город Санкт-Петербург город федерального значения,2017,4688414.0,Санкт-Петербург
Южный федеральный округ (по 2009 год),2017,22853022.0,
Республика Адыгея (Адыгея),2017,446628.0,Республика Адыгея
Республика Калмыкия,2017,297583.0,Республика Калмыкия
Краснодарский край,2017,5131618.0,Краснодарский край
Астраханская область,2017,1005510.0,Астраханская область
Волгоградская область,2017,2709610.0,Волгоградская область
Ростовская область,2017,4417648.0,Ростовская область
Республика Дагестан,2017,2536077.0,Республика Дагестан
Республика Ингушетия,2017,455519.0,Республика Ингушетия
Кабардино-Балкарская Республика,2017,894356.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2017,439803.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2017,709630.0,Республика Северная Осетия - Алания
Чеченская Республика,2017,1072867.0,Чеченская Республика
Ставропольский край,2017,2736173.0,Ставропольский край
Приволжский федеральный округ,2017,31316013.0,
Республика Башкортостан,2017,4108249.0,Республика Башкортостан
Республика Марий Эл,2017,732774.0,Республика Марий Эл
Республика Мордовия,2017,897136.0,Республика Мордовия
Республика Татарстан (Татарстан),2017,3781867.0,Республика Татарстан
Удмуртская Республика,2017,1578187.0,Удмуртская Республика
Чувашская Республика - Чувашия,2017,1319498.0,Чувашская Республика
Пермский край,2017,2837146.0,Пермский край
"Коми-Пермяцкий округ, входящий в состав Пермского края",2017,136608.0,
Кировская область,2017,1518378.0,Кировская область
Нижегородская область,2017,3554696.0,Нижегородская область
Оренбургская область,2017,2189876.0,Оренбургская область
Пензенская область,2017,1466215.0,Пензенская область
