region,year,welfare_percent,region_standard
Чувашская Республика,2017,22.6,Чувашская Республика
Пермский край,2017,25.6,Пермский край
Кировская область,2017,26.0,Кировская область
Нижегородская область,2017,23.0,Нижегородская область
Оренбургская область,2017,26.5,Оренбургская область
Пензенская область,2017,25.4,Пензенская область
Самарская область,2017,22.1,Самарская область
Саратовская область,2017,28.7,Саратовская область
Ульяновская область,2017,27.9,Ульяновская область
Курганская область,2017,29.5,Курганская область
Свердловская область,2017,24.1,Свердловская область
Тюменская область,2017,19.8,Тюменская область
Челябинская область,2017,25.6,Челябинская область
"Ханты-Мансийский 
автономный округ - Югра",2017,16.5,
"Ямало-Ненецкий 
автономный округ",2017,14.0,
Республика Алтай,2017,20.6,Республика Алтай
Республика Тыва,2017,24.5,Республика Тыва
Республика Хакасия,2017,24.3,Республика Хакасия
Алтайский край,2017,30.9,Алтайский край
Красноярский край,2017,22.7,Красноярский край
Иркутская область,2017,24.6,Иркутская область
Кемеровская область,2017,25.9,Кемеровская область
Новосибирская область,2017,24.1,Новосибирская область
Омская область,2017,29.9,Омская область
Томская область,2017,23.1,Томская область
Республика Бурятия,2017,25.0,Республика Бурятия
Республика Саха (Якутия),2017,15.5,Республика Саха (Якутия)
Забайкальский край,2017,29.3,Забайкальский край
Камчатский край,2017,16.4,Камчатский край
Приморский край,2017,25.3,Приморский край
Хабаровский край,2017,22.9,Хабаровский край
Амурская область,2017,26.3,Амурская область
Магаданская область,2017,13.4,Магаданская область
Сахалинская область,2017,16.8,Сахалинская область
Еврейская автономная область,2017,28.3,Еврейская автономная область
Чукотский автономный округ,2017,7.8,Чукотский автономный округ
Российская Федерация,2018,20.3,
Белгородская область,2018,15.6,Белгородская область
Брянская область,2018,23.7,Брянская область
Владимирская область,2018,23.4,Владимирская область
Воронежская область,2018,20.9,Воронежская область
Ивановская область,2018,27.0,Ивановская область
Калужская область,2018,17.7,Калужская область
Костромская область,2018,21.4,Костромская область
Курская область,2018,23.3,Курская область
Липецкая область,2018,21.2,Липецкая область
Московская область,2018,18.0,Московская область
Орловская область,2018,25.7,Орловская область
Рязанская область,2018,21.9,Рязанская область
Смоленская область,2018,25.7,Смоленская область
Тамбовская область,2018,22.8,Тамбовская область
Тверская область,2018,23.8,Тверская область
Тульская область,2018,25.5,Тульская область
Ярославская область,2018,22.5,Ярославская область
г. Москва,2018,17.1,Москва
Республика Карелия,2018,28.0,Республика Карелия
Республика Коми,2018,23.5,Республика Коми
Архангельская область,2018,24.2,Архангельская область
Вологодская область,2018,26.6,Вологодская область
Калининградская область,2018,9.3,Калининградская область
Ленинградская область,2018,16.4,Ленинградская область
Мурманская область,2018,24.4,Мурманская область
Новгородская область,2018,23.9,Новгородская область
Псковская область,2018,23.2,Псковская область
г. Санкт-Петербург,2018,17.0,Санкт-Петербург
Ненецкий автономный округ,2018,15.5,Ненецкий автономный округ
Республика Адыгея,2018,21.5,Республика Адыгея
Республика Калмыкия,2018,25.4,Республика Калмыкия
Республика Крым,2018,13.5,Республика Крым
Краснодарский край,2018,24.0,Краснодарский край
Астраханская область,2018,26.4,Астраханская область
Волгоградская область,2018,24.2,Волгоградская область
Ростовская область,2018,25.4,Ростовская область
г. Севастополь,2018,14.1,Севастополь
Республика Дагестан,2018,28.5,Республика Дагестан
Республика Ингушетия,2018,27.9,Республика Ингушетия
"Кабардино-Балкарская
Республика",2018,25.2,
"Карачаево-Черкесская
Республика",2018,23.1,
"Республика Северная
Осетия-Алания",2018,24.2,
Чеченская Республика,2018,29.7,Чеченская Республика
Ставропольский край,2018,28.9,Ставропольский край
Республика Башкортостан,2018,21.7,Республика Башкортостан
Республика Марий Эл,2018,25.1,Республика Марий Эл
Республика Мордовия,2018,20.5,Республика Мордовия
Республика Татарстан,2018,12.3,Республика Татарстан
Удмуртская Республика,2018,22.0,Удмуртская Республика
Чувашская Республика,2018,22.6,Чувашская Республика
Пермский край,2018,23.4,Пермский край
Кировская область,2018,25.6,Кировская область
Нижегородская область,2018,23.6,Нижегородская область
Оренбургская область,2018,26.4,Оренбургская область
Пензенская область,2018,23.9,Пензенская область
Самарская область,2018,23.5,Самарская область
Саратовская область,2018,29.2,Саратовская область
Ульяновская область,2018,27.3,Ульяновская область
Курганская область,2018,28.0,Курганская область
Свердловская область,2018,23.4,Свердловская область
Тюменская область,2018,18.7,Тюменская область
Челябинская область,2018,24.1,Челябинская область
"Ханты-Мансийский 
автономный округ - Югра",2018,17.0,
"Ямало-Ненецкий 
автономный округ",2018,14.0,
Республика Алтай,2018,17.6,Республика Алтай
Республика Тыва,2018,22.5,Республика Тыва
Республика Хакасия,2018,22.6,Республика Хакасия
Алтайский край,2018,29.8,Алтайский край
Красноярский край,2018,21.7,Красноярский край
Иркутская область,2018,24.2,Иркутская область
Кемеровская область,2018,24.0,Кемеровская область
Новосибирская область,2018,23.3,Новосибирская область
Омская область,2018,29.3,Омская область
Томская область,2018,22.6,Томская область
Республика Бурятия,2018,23.8,Республика Бурятия
Республика Саха (Якутия),2018,15.4,Республика Саха (Якутия)
Забайкальский край,2018,25.6,Забайкальский край
Камчатский край,2018,14.8,Камчатский край
Приморский край,2018,24.3,Приморский край
Хабаровский край,2018,21.1,Хабаровский край
Амурская область,2018,24.1,Амурская область
Магаданская область,2018,12.8,Магаданская область
Сахалинская область,2018,14.3,Сахалинская область
Еврейская автономная область,2018,27.8,Еврейская автономная область
Чукотский автономный округ,2018,7.0,Чукотский автономный округ
Российская Федерация,2019,19.8,
Белгородская область,2019,13.8,Белгородская область
Брянская область,2019,20.7,Брянская область
