region,year,cluster
Чувашская Республика,2015,1
Чувашская Республика,2016,1
Чувашская Республика,2017,1
Чувашская Республика,2018,1
Чувашская Республика,2019,1
Чувашская Республика,2020,1
Пермский край,2015,1
Пермский край,2016,1
Пермский край,2017,1
Пермский край,2018,1
Пермский край,2019,1
Пермский край,2020,1
Кировская область,2015,1
Кировская область,2016,1
Кировская область,2017,1
Кировская область,2018,1
Кировская область,2019,1
Кировская область,2020,1
Нижегородская область,2015,1
Нижегородская область,2016,1
Нижегородская область,2017,1
Нижегородская область,2018,1
Нижегородская область,2019,1
Нижегородская область,2020,1
Оренбургская область,2015,1
Оренбургская область,2016,1
Оренбургская область,2017,1
Оренбургская область,2018,1
Оренбургская область,2019,1
Оренбургская область,2020,1
Пензенская область,2015,1
Пензенская область,2016,1
Пензенская область,2017,1
Пензенская область,2018,1
Пензенская область,2019,1
Пензенская область,2020,1
Самарская область,2015,1
Самарская область,2016,1
Самарская область,2017,1
Самарская область,2018,1
Самарская область,2019,1
Самарская область,2020,1
Саратовская область,2015,1
Саратовская область,2016,1
Саратовская область,2017,1
Саратовская область,2018,1
Саратовская область,2019,1
Саратовская область,2020,1
Ульяновская область,2015,1
Ульяновская область,2016,1
Ульяновская область,2017,1
Ульяновская область,2018,1
Ульяновская область,2019,1
Ульяновская область,2020,1
Курганская область,2015,1
Курганская область,2016,1
Курганская область,2017,1
Курганская область,2018,1
Курганская область,2019,1
Курганская область,2020,1
Свердловская область,2015,1
Свердловская область,2016,1
Свердловская область,2017,1
Свердловская область,2018,1
Свердловская область,2019,1
Свердловская область,2020,1
Тюменская область,2015,2
Тюменская область,2016,2
Тюменская область,2017,2
Тюменская область,2018,2
Тюменская область,2019,2
Тюменская область,2020,2
Ханты-Мансийский автономный округ,2015,2
Ханты-Мансийский автономный округ,2016,2
Ханты-Мансийский автономный округ,2017,2
Ханты-Мансийский автономный округ,2018,2
Ханты-Мансийский автономный округ,2019,2
Ханты-Мансийский автономный округ,2020,2
Ямало-Ненецкий автономный округ,2015,2
Ямало-Ненецкий автономный округ,2016,2
Ямало-Ненецкий автономный округ,2017,2
Ямало-Ненецкий автономный округ,2018,2
Ямало-Ненецкий автономный округ,2019,2
Ямало-Ненецкий автономный округ,2020,2
Челябинская область,2015,1
Челябинская область,2016,1
Челябинская область,2017,1
Челябинская область,2018,1
Челябинская область,2019,1
Челябинская область,2020,1
Республика Алтай,2015,1
Республика Алтай,2016,1
Республика Алтай,2017,1
Республика Алтай,2018,1
Республика Алтай,2019,1
Республика Алтай,2020,1
Республика Тыва,2015,0
Республика Тыва,2016,1
Республика Тыва,2017,1
Республика Тыва,2018,1
Республика Тыва,2019,1
Республика Тыва,2020,1
Республика Хакасия,2015,1
Республика Хакасия,2016,1
Республика Хакасия,2017,1
Республика Хакасия,2018,1
Республика Хакасия,2019,1
Республика Хакасия,2020,1
Алтайский край,2015,1
Алтайский край,2016,1
Алтайский край,2017,1
Алтайский край,2018,1
Алтайский край,2019,1
Алтайский край,2020,1
Красноярский край,2015,1
Красноярский край,2016,1
Красноярский край,2017,1
Красноярский край,2018,1
Красноярский край,2019,1
Красноярский край,2020,1
Иркутская область,2015,1
Иркутская область,2016,1
Иркутская область,2017,1
Иркутская область,2018,1
Иркутская область,2019,1
Иркутская область,2020,1
Кемеровская область,2015,1
Кемеровская область,2016,1
Кемеровская область,2017,1
Кемеровская область,2018,1
Кемеровская область,2019,1
Кемеровская область,2020,1
Новосибирская область,2015,1
Новосибирская область,2016,1
Новосибирская область,2017,1
Новосибирская область,2018,1
Новосибирская область,2019,1
Новосибирская область,2020,1
Омская область,2015,1
Омская область,2016,1
Омская область,2017,1
Омская область,2018,1
Омская область,2019,1
Омская область,2020,1
Томская область,2015,1
Томская область,2016,1
Томская область,2017,1
Томская область,2018,1
Томская область,2019,1
Томская область,2020,1
Республика Бурятия,2015,1
Республика Бурятия,2016,1
Республика Бурятия,2017,1
Республика Бурятия,2018,1
Республика Бурятия,2019,1
Республика Бурятия,2020,1
Забайкальский край,2018,1
Забайкальский край,2019,1
Забайкальский край,2020,1
Республика Саха (Якутия),2015,1
Республика Саха (Якутия),2016,1
Республика Саха (Якутия),2017,1
Республика Саха (Якутия),2018,1
Республика Саха (Якутия),2019,1
Республика Саха (Якутия),2020,1
Камчатский край,2015,2
Камчатский край,2016,2
Камчатский край,2017,2
Камчатский край,2018,2
Камчатский край,2019,2
Камчатский край,2020,2
Приморский край,2015,1
Приморский край,2016,1
Приморский край,2017,1
Приморский край,2018,1
Приморский край,2019,1
Приморский край,2020,1
Хабаровский край,2015,2
Хабаровский край,2016,2
Хабаровский край,2017,2
Хабаровский край,2018,2
Хабаровский край,2019,2
Хабаровский край,2020,2
Амурская область,2015,1
Амурская область,2016,1
Амурская область,2017,1
Амурская область,2018,1
Амурская область,2019,1
Амурская область,2020,1
Магаданская область,2015,2
Магаданская область,2016,2
Магаданская область,2017,2
Магаданская область,2018,2
Магаданская область,2019,2
Магаданская область,2020,2
Сахалинская область,2015,2
Сахалинская область,2016,2
Сахалинская область,2017,2
Сахалинская область,2018,2
Сахалинская область,2019,2
Сахалинская область,2020,2
Еврейская автономная область,2015,1
Еврейская автономная область,2016,1
Еврейская автономная область,2017,1
Еврейская автономная область,2018,1
Еврейская автономная область,2019,1
Еврейская автономная область,2020,1
Чукотский автономный округ,2015,2
Чукотский автономный округ,2016,2
Чукотский автономный округ,2017,2
Чукотский автономный округ,2018,2
Чукотский автономный округ,2019,2
Чукотский автономный округ,2020,2
