region,year,agglo_cluster
Республика Северная Осетия - Алания,2019,0
Республика Северная Осетия - Алания,2020,0
Чеченская Республика,2015,0
Чеченская Республика,2016,0
Чеченская Республика,2017,0
Чеченская Республика,2018,0
Чеченская Республика,2019,0
Чеченская Республика,2020,0
Ставропольский край,2015,0
Ставропольский край,2016,0
Ставропольский край,2017,0
Ставропольский край,2018,0
Ставропольский край,2019,0
Ставропольский край,2020,0
Республика Башкортостан,2015,2
Республика Башкортостан,2016,2
Республика Башкортостан,2017,2
Республика Башкортостан,2018,2
Республика Башкортостан,2019,2
Республика Башкортостан,2020,2
Республика Марий Эл,2015,2
Республика Марий Эл,2016,2
Республика Марий Эл,2017,2
Республика Марий Эл,2018,2
Республика Марий Эл,2019,2
Республика Марий Эл,2020,2
Республика Мордовия,2015,2
Республика Мордовия,2016,2
Республика Мордовия,2017,2
Республика Мордовия,2018,2
Республика Мордовия,2019,2
Республика Мордовия,2020,2
Республика Татарстан,2015,2
Республика Татарстан,2016,2
Республика Татарстан,2017,2
Республика Татарстан,2018,2
Республика Татарстан,2019,2
Республика Татарстан,2020,2
Удмуртская Республика,2015,2
Удмуртская Республика,2016,2
Удмуртская Республика,2017,2
Удмуртская Республика,2018,2
Удмуртская Республика,2019,2
Удмуртская Республика,2020,2
Чувашская Республика,2015,2
Чувашская Республика,2016,2
Чувашская Республика,2017,2
Чувашская Республика,2018,2
Чувашская Республика,2019,2
Чувашская Республика,2020,2
Пермский край,2015,2
Пермский край,2016,2
Пермский край,2017,2
Пермский край,2018,2
Пермский край,2019,2
Пермский край,2020,2
Кировская область,2015,2
Кировская область,2016,2
Кировская область,2017,2
Кировская область,2018,2
Кировская область,2019,2
Кировская область,2020,2
Нижегородская область,2015,2
Нижегородская область,2016,2
Нижегородская область,2017,2
Нижегородская область,2018,2
Нижегородская область,2019,2
Нижегородская область,2020,2
Оренбургская область,2015,2
Оренбургская область,2016,2
Оренбургская область,2017,2
Оренбургская область,2018,2
Оренбургская область,2019,2
Оренбургская область,2020,2
Пензенская область,2015,2
Пензенская область,2016,2
Пензенская область,2017,2
Пензенская область,2018,2
Пензенская область,2019,2
Пензенская область,2020,2
Самарская область,2015,2
Самарская область,2016,2
Самарская область,2017,2
Самарская область,2018,2
Самарская область,2019,2
Самарская область,2020,2
Саратовская область,2015,2
Саратовская область,2016,2
Саратовская область,2017,2
Саратовская область,2018,2
Саратовская область,2019,2
Саратовская область,2020,2
Ульяновская область,2015,2
Ульяновская область,2016,2
Ульяновская область,2017,2
Ульяновская область,2018,2
Ульяновская область,2019,2
Ульяновская область,2020,2
Курганская область,2015,2
Курганская область,2016,2
Курганская область,2017,2
Курганская область,2018,2
Курганская область,2019,2
Курганская область,2020,2
Свердловская область,2015,2
Свердловская область,2016,2
Свердловская область,2017,2
Свердловская область,2018,2
Свердловская область,2019,2
Свердловская область,2020,2
Тюменская область,2015,1
Тюменская область,2016,1
Тюменская область,2017,1
Тюменская область,2018,1
Тюменская область,2019,1
Тюменская область,2020,1
Ханты-Мансийский автономный округ,2015,1
Ханты-Мансийский автономный округ,2016,1
Ханты-Мансийский автономный округ,2017,1
Ханты-Мансийский автономный округ,2018,1
Ханты-Мансийский автономный округ,2019,1
Ханты-Мансийский автономный округ,2020,1
Ямало-Ненецкий автономный округ,2015,1
Ямало-Ненецкий автономный округ,2016,1
Ямало-Ненецкий автономный округ,2017,1
Ямало-Ненецкий автономный округ,2018,1
Ямало-Ненецкий автономный округ,2019,1
Ямало-Ненецкий автономный округ,2020,1
Челябинская область,2015,2
Челябинская область,2016,2
Челябинская область,2017,2
Челябинская область,2018,2
Челябинская область,2019,2
Челябинская область,2020,2
Республика Алтай,2015,0
Республика Алтай,2016,0
Республика Алтай,2017,0
Республика Алтай,2018,0
Республика Алтай,2019,0
Республика Алтай,2020,0
Республика Тыва,2015,0
Республика Тыва,2016,0
Республика Тыва,2017,0
Республика Тыва,2018,0
Республика Тыва,2019,0
Республика Тыва,2020,0
Республика Хакасия,2015,2
Республика Хакасия,2016,2
Республика Хакасия,2017,2
Республика Хакасия,2018,2
Республика Хакасия,2019,2
Республика Хакасия,2020,2
Алтайский край,2015,2
Алтайский край,2016,2
Алтайский край,2017,2
Алтайский край,2018,2
Алтайский край,2019,2
Алтайский край,2020,2
Красноярский край,2015,2
Красноярский край,2016,2
Красноярский край,2017,2
Красноярский край,2018,2
Красноярский край,2019,2
Красноярский край,2020,2
Иркутская область,2015,2
Иркутская область,2016,2
Иркутская область,2017,2
Иркутская область,2018,2
Иркутская область,2019,2
Иркутская область,2020,2
Кемеровская область,2015,2
Кемеровская область,2016,2
Кемеровская область,2017,2
Кемеровская область,2018,2
Кемеровская область,2019,2
Кемеровская область,2020,2
Новосибирская область,2015,2
Новосибирская область,2016,2
Новосибирская область,2017,2
Новосибирская область,2018,2
Новосибирская область,2019,2
Новосибирская область,2020,2
Омская область,2015,2
Омская область,2016,2
Омская область,2017,2
Омская область,2018,2
Омская область,2019,2
Омская область,2020,2
Томская область,2015,2
Томская область,2016,2
Томская область,2017,2
Томская область,2018,2
Томская область,2019,2
Томская область,2020,2
Республика Бурятия,2015,0
Республика Бурятия,2016,0
Республика Бурятия,2017,0
Республика Бурятия,2018,0
Республика Бурятия,2019,0
Республика Бурятия,2020,0
Забайкальский край,2015,2
Забайкальский край,2016,2
Забайкальский край,2017,2
Забайкальский край,2018,2
Забайкальский край,2019,2
Забайкальский край,2020,2
Республика Саха (Якутия),2015,1
Республика Саха (Якутия),2016,1
Республика Саха (Якутия),2017,1
Республика Саха (Якутия),2018,1
Республика Саха (Якутия),2019,1
Республика Саха (Якутия),2020,1
Камчатский край,2015,1
Камчатский край,2016,1
Камчатский край,2017,1
Камчатский край,2018,1
Камчатский край,2019,1
Камчатский край,2020,1
Приморский край,2015,2
Приморский край,2016,2
Приморский край,2017,2
Приморский край,2018,2
Приморский край,2019,2
Приморский край,2020,2
Хабаровский край,2015,2
Хабаровский край,2016,2
Хабаровский край,2017,2
Хабаровский край,2018,2
Хабаровский край,2019,2
Хабаровский край,2020,2
Амурская область,2015,2
Амурская область,2016,2
Амурская область,2017,2
Амурская область,2018,2
Амурская область,2019,2
Амурская область,2020,2
Магаданская область,2015,1
Магаданская область,2016,1
Магаданская область,2017,1
Магаданская область,2018,1
Магаданская область,2019,1
Магаданская область,2020,1
Сахалинская область,2015,1
Сахалинская область,2016,1
Сахалинская область,2017,1
Сахалинская область,2018,1
Сахалинская область,2019,1
Сахалинская область,2020,1
Еврейская автономная область,2015,2
Еврейская автономная область,2016,2
Еврейская автономная область,2017,2
Еврейская автономная область,2018,2
Еврейская автономная область,2019,2
Еврейская автономная область,2020,2
Чукотский автономный округ,2015,1
Чукотский автономный округ,2016,1
Чукотский автономный округ,2017,1
Чукотский автономный округ,2018,1
Чукотский автономный округ,2019,1
Чукотский автономный округ,2020,1
