region_standard,year,total,18_30,31_40,41_50,51_60,60_
Иркутская область,2021,201445.0,12635.416666666666,20494.583333333332,22942.833333333332,31831.0,113541.16666666667
Кабардино-Балкарская Республика,2017,57123.416666666664,3983.0,4710.583333333333,7588.25,14431.666666666666,26409.916666666668
Кабардино-Балкарская Республика,2018,56781.25,3866.9166666666665,4867.25,7369.0,14168.583333333334,26509.5
Кабардино-Балкарская Республика,2019,57328.5,3783.9166666666665,5063.083333333333,7280.583333333333,14091.5,27109.416666666668
Кабардино-Балкарская Республика,2020,56902.0,3719.1666666666665,5186.416666666667,7118.583333333333,13727.083333333334,27150.75
Кабардино-Балкарская Республика,2021,55737.916666666664,3708.5,5209.416666666667,6975.833333333333,13092.25,26751.916666666668
Калининградская область,2017,72364.08333333333,3022.0833333333335,4457.083333333333,5922.75,12170.583333333334,46791.583333333336
Калининградская область,2018,70929.16666666667,2874.25,4451.166666666667,5916.333333333333,11583.5,46103.916666666664
Калининградская область,2019,69634.16666666667,2716.0833333333335,4398.416666666667,5807.666666666667,10906.416666666666,45805.583333333336
Калининградская область,2020,67765.83333333333,2619.0,4372.583333333333,5870.5,10320.416666666666,44583.333333333336
Калининградская область,2021,65153.0,2614.8333333333335,4308.833333333333,5919.916666666667,9694.833333333334,42614.583333333336
Калужская область,2017,78055.41666666667,3346.3333333333335,4810.666666666667,6162.666666666667,13826.166666666666,49909.583333333336
Калужская область,2018,77061.66666666667,3169.0,4825.25,6194.083333333333,13232.416666666666,49640.916666666664
Калужская область,2019,77154.08333333333,3045.0833333333335,4902.75,6436.416666666667,12695.083333333334,50074.75
Калужская область,2020,76169.5,2948.6666666666665,4883.166666666667,6602.583333333333,12109.916666666666,49625.166666666664
Калужская область,2021,74632.75,2931.8333333333335,4924.833333333333,6807.0,11645.083333333334,48324.0
Камчатский край,2017,13664.666666666666,918.4166666666666,1181.3333333333333,1535.0,2446.0,7583.916666666667
Камчатский край,2018,13376.083333333334,876.6666666666666,1201.75,1538.9166666666667,2324.1666666666665,7434.583333333333
Камчатский край,2019,13735.333333333334,839.75,1221.25,1561.5833333333333,2297.5833333333335,7815.166666666667
Камчатский край,2020,13385.583333333334,816.0,1203.3333333333333,1559.4166666666667,2212.9166666666665,7593.916666666667
Камчатский край,2021,12865.0,799.25,1189.3333333333333,1583.0,2117.3333333333335,7176.083333333333
Карачаево-Черкесская Республика,2017,49606.166666666664,3863.0,4471.916666666667,7750.25,13726.25,19794.75
Карачаево-Черкесская Республика,2018,49832.916666666664,3766.25,4612.0,7634.583333333333,13425.333333333334,20394.75
Карачаево-Черкесская Республика,2019,51024.083333333336,3808.3333333333335,4884.583333333333,7682.083333333333,13255.916666666666,21393.166666666668
Карачаево-Черкесская Республика,2020,51544.5,3763.0833333333335,5093.75,7668.833333333333,12928.25,22090.583333333332
Карачаево-Черкесская Республика,2021,51472.666666666664,3736.25,5261.333333333333,7689.666666666667,12306.916666666666,22478.5
Кемеровская область,2017,231103.66666666666,11317.416666666666,17494.25,20748.166666666668,46437.083333333336,135106.75
